pair_index,mol_a_idx,mol_b_idx,input_line_a,input_line_b,input_smiles_a,input_smiles_b,smiles_a,smiles_b,atoms_a,bonds_a,atoms_b,bonds_b,nvmolkit_time_ms,rdkit_time_ms,nvmolkit_atoms,nvmolkit_bonds,rdkit_atoms,rdkit_bonds,rdkit_completed,nvmolkit_canceled,nvmolkit_overflowed,nvmolkit_used_gpu,nvmolkit_used_fallback
776,71,282,4769611,9846240,CC(C)(C)CCCCC(=O)N1CC(CCNC(=O)C2=CC=NC=C2F)C1,CCC1=C(C(=O)NC(C)C2CCN(S(=O)(=O)C3=CC=CC4=CC=CN=C43)C2)N=NN1CC,CC(C)(C)CCCCC(=O)N1CC(CCNC(=O)c2ccncc2F)C1,CCc1c(C(=O)NC(C)C2CCN(S(=O)(=O)c3cccc4cccnc34)C2)nnn1CC,26,27,32,35,72.631317,2.949165,13,12,13,12,1,0,0,1,0
777,791,808,9428881,7721289,CC1=CC(C(=O)N2[C@H](CNC(=O)C3=CC=C(N=[N+]=[N-])C=C3)C[C@@H]3CCC[C@@H]32)=NN=C1C,CC(C)OC(C)(C)C(=O)N(CC1=CC=C(F)C=C1O)CC(O)C1=CC=CC=C1,Cc1cc(C(=O)N2[C@H](CNC(=O)c3ccc(N=[N+]=[N-])cc3)C[C@@H]3CCC[C@@H]32)nnc1C,CC(C)OC(C)(C)C(=O)N(Cc1ccc(F)cc1O)CC(O)c1ccccc1,31,34,28,29,78.605980,4.836684,16,16,16,16,1,0,0,1,0
778,874,424,7444830,6107964,COC(=O)C1=CC(NCCNC(=O)C2CCCCC2C2CC2)=NC(C2CC2)=N1,O=C(CCC1=CN=CO1)NC[C@H]1CCCN(C(=O)CN2CCOCC2=O)C1,COC(=O)c1cc(NCCNC(=O)C2CCCCC2C2CC2)nc(C2CC2)n1,O=C(CCc1cnco1)NC[C@H]1CCCN(C(=O)CN2CCOCC2=O)C1,28,31,27,29,40.322571,2.003472,15,14,15,14,1,0,0,1,0
779,348,956,2791183,6083509,CCC1=CC=C(CN(CC(Cl)(Cl)Cl)C(=O)CNC(=O)CC(C)C)O1,CCN1C=CC(CC(=O)NCC2CN(C(=O)CCOC(C)=O)CC2(F)F)=N1,CCc1ccc(CN(CC(Cl)(Cl)Cl)C(=O)CNC(=O)CC(C)C)o1,CCn1ccc(CC(=O)NCC2CN(C(=O)CCOC(C)=O)CC2(F)F)n1,24,24,27,28,7.939790,0.738765,9,8,9,8,1,0,0,1,0
780,806,519,542253,8176671,C=CCN(OC)C(=O)CCNC(=O)C1=CN=NN1C=C,CCC1=CC=C(C(=O)N2CCCC[C@H]2CN(C)C(=O)CCNC2=CC=CC=N2)N1,C=CCN(OC)C(=O)CCNC(=O)c1cnnn1C=C,CCc1ccc(C(=O)N2CCCC[C@H]2CN(C)C(=O)CCNc2ccccn2)[nH]1,20,20,29,31,9.576401,0.469143,12,11,12,11,1,0,0,1,0
781,273,840,7258588,7897823,CCC(CC(=O)NCC1CN(C(=O)C2=NC=CN=C2OC)CC12CCC2)OC,COC1=CC=CC2=C1C(C1NC(=O)N(C)C3=C1C(=O)NC1(CCOCC1)C3)=CN2,CCC(CC(=O)NCC1CN(C(=O)c2nccnc2OC)CC12CCC2)OC,COc1cccc2[nH]cc(C3NC(=O)N(C)C4=C3C(=O)NC3(CCOCC3)C4)c12,28,30,29,33,240.930817,8.841277,14,13,14,13,1,0,0,1,0
782,2,289,66768,8174796,CC(C)[C@H](C)C(=O)OCC1=CC=C(Cl)C(F)=C1,CC(CC1=CC=CN=C1)C(=O)NC[C@H]1C[C@H](NC(=O)CC2OCCCC2(C)C)C1,CC(C)[C@H](C)C(=O)OCc1ccc(Cl)c(F)c1,CC(Cc1cccnc1)C(=O)NC[C@H]1C[C@H](NC(=O)CC2OCCCC2(C)C)C1,17,17,29,31,13.459517,0.832540,9,8,9,8,1,0,0,1,0
783,743,305,7082654,10117801,CC1=NN(CC(=O)NC(CC(=O)NCC(C)C2=CC=NC=C2)CC(C)C)N=N1,C#CCCC1CCN(C(C2=CN(C3=CC=CC(F)=C3)N=C2C)C2=NN=NN2CCC2CC2)C1,Cc1nnn(CC(=O)NC(CC(=O)NCC(C)c2ccncc2)CC(C)C)n1,C#CCCC1CCN(C(c2cn(-c3cccc(F)c3)nc2C)c2nnnn2CCC2CC2)C1,28,29,33,37,60.490868,2.403656,13,12,13,12,1,0,0,1,0
784,857,601,2350705,7965965,N#CC1=CC=C(N2CCC(C(CN)C3=CC=CC=C3)CC2)C(F)=C1,CNC(=O)CN1C=CC2=CC=C(NC(=O)NC3=C4OC(=O)NC4=CC(Cl)=C3)C=C21,N#Cc1ccc(N2CCC(C(CN)c3ccccc3)CC2)c(F)c1,CNC(=O)Cn1ccc2ccc(NC(=O)Nc3cc(Cl)cc4[nH]c(=O)oc34)cc21,24,26,29,32,154.573700,7.301033,11,11,11,11,1,0,0,1,0
785,593,675,247809,6756127,CN1N=CC(CNCCC2=CNN=N2)=C1S(N)(=O)=O,CC(C)C(=O)NCC1CCCN(C(=O)C(=O)NC2=CC=CC3=CC=NC=C32)C1,Cn1ncc(CNCCc2c[nH]nn2)c1S(N)(=O)=O,CC(C)C(=O)NCC1CCCN(C(=O)C(=O)Nc2cccc3ccncc23)C1,19,20,28,30,11.359742,0.492855,10,9,10,9,1,0,0,1,0
786,501,886,4499785,7135267,C#CCOC(=O)CNC(=O)C(F)C1CC(NC(=O)CC2CC3(CC3)C2)C1,O=C(C1=CC=C(F)C=C1)N(CCN1C=NC(Br)=N1)CC1=CC2=NC=CC=C2S1,C#CCOC(=O)CNC(=O)C(F)C1CC(NC(=O)CC2CC3(CC3)C2)C1,O=C(c1ccc(F)cc1)N(CCn1cnc(Br)n1)Cc1cc2ncccc2s1,26,28,28,31,64.861382,2.514949,14,13,14,13,1,0,0,1,0
787,152,457,2237266,6812556,COC1=CC(S(C)(=O)=O)=CC=C1NC(=O)NC1(CO)CC(C)(C)C1,CCC1=NOC(CNC(=O)C(=O)N2CCN(C3=CC=C(C(C)=O)C=C3)CC2)=N1,COc1cc(S(C)(=O)=O)ccc1NC(=O)NC1(CO)CC(C)(C)C1,CCc1noc(CNC(=O)C(=O)N2CCN(c3ccc(C(C)=O)cc3)CC2)n1,24,25,28,30,14.983610,0.865265,8,8,8,8,1,0,0,1,0
788,551,495,3108760,224835,CC1=C(CCNC(=O)NCC(=O)N2CCCO2)C2=CC(Cl)=CC=C2N1,C=CC(C)(O)CNC(=O)C1=CC2=C(N=CN2)C(F)=C1,Cc1[nH]c2ccc(Cl)cc2c1CCNC(=O)NCC(=O)N1CCCO1,C=CC(C)(O)CNC(=O)c1cc(F)c2nc[nH]c2c1,25,27,19,20,64.444244,1.441612,14,13,14,13,1,0,0,1,0
789,353,340,5603307,2339548,COC(C(=O)NCCOC1CCCC1)C1CN(C(=O)C2=NOC(C)(C)C2)C1,C[C@H](O)C1=CC=CC(NCC(C)(C)C(=O)OCC2=CC=CC=C2)=C1,COC(C(=O)NCCOC1CCCC1)C1CN(C(=O)C2=NOC(C)(C)C2)C1,C[C@H](O)c1cccc(NCC(C)(C)C(=O)OCc2ccccc2)c1,27,29,24,25,38.158314,1.922198,13,12,13,12,1,0,0,1,0
